template,quantidade,designer,data,hora
OLIMPIADAS 2024 CONFRONTO,1,jbillard,27/07/2024,08:55
OLIMPIADAS 2024 CONFRONTO VARIACAO,1,jbillard,27/07/2024,09:02
OLIMPIADAS 2024 CARTAO GENERICO,1,jbillard,27/07/2024,09:16
OLIMPIADAS 2024 RODAPE CREDITO CONVIDADO,1,jbillard,27/07/2024,09:17
OLIMPIADAS 2024 RODAPE CREDITO GENERICO,1,jbillard,27/07/2024,09:18
OLIMPIADAS 2024 RODAPE MEDALHA,1,jbillard,27/07/2024,09:19
OLIMPIADAS 2024 RODAPE MEDALHA,1,jbillard,27/07/2024,09:25
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,jbillard,27/07/2024,09:33
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,jbillard,27/07/2024,09:35
OLIMPIADAS 2024 CARTAO GENERICO,1,jbillard,27/07/2024,09:36
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,1,jbillard,27/07/2024,09:37
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,1,jbillard,27/07/2024,09:40
OLIMPIADAS 2024 CARTAO SERVICO HORA,1,jbillard,27/07/2024,09:41
OLIMPIADAS 2024 RODAPE GENERICO,1,jbillard,27/07/2024,09:42
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,jbillard,27/07/2024,15:27
OLIMPIADAS 2024 RODAPE MEDALHA,1,crvianna,28/07/2024,13:25
OLIMPIADAS 2024 CARTAO GENERICO,4,crvianna,28/07/2024,13:27
OLIMPIADAS 2024 CARTAO GENERICO,1,crvianna,28/07/2024,13:29
OLIMPIADAS 2024 RODAPE MEDALHA,6,crvianna,28/07/2024,13:36
OLIMPIADAS 2024 RODAPE MEDALHA,1,grodriguez,28/07/2024,14:48
OLIMPIADAS 2024 CONFRONTO,2,grodriguez,28/07/2024,17:47
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,1,grodriguez,28/07/2024,20:06
OLIMPIADAS 2024 CONFRONTO,2,grodriguez,29/07/2024,22:36
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,4,grodriguez,29/07/2024,22:39
OLIMPIADAS 2024 LETTERING DIA,1,grodriguez,29/07/2024,22:42
OLIMPIADAS 2024 RODAPE GENERICO,2,grodriguez,29/07/2024,22:43
OLIMPIADAS 2024 CONFRONTO,1,grodriguez,29/07/2024,23:01
OLIMPIADAS 2024 CARTAO GENERICO,2,ycorrea,29/07/2024,23:06
OLIMPIADAS 2024 RODAPE GENERICO,5,grodriguez,29/07/2024,23:07
OLIMPIADAS 2024 RODAPE MEDALHA,1,mnathan,30/07/2024,15:33
OLIMPIADAS 2024 CARTAO GENERICO,1,mnathan,30/07/2024,16:10
OLIMPIADAS 2024 CARTAO GENERICO,1,mnathan,30/07/2024,16:25
OLIMPIADAS 2024 CONFRONTO,1,ycorrea,30/07/2024,21:52
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,2,ycorrea,30/07/2024,21:56
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,30/07/2024,21:58
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,ycorrea,30/07/2024,21:59
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,2,ycorrea,30/07/2024,22:04
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,30/07/2024,22:07
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,5,grodriguez,30/07/2024,22:08
OLIMPIADAS 2024 CONFRONTO,1,ycorrea,30/07/2024,22:10
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,2,grodriguez,30/07/2024,22:12
OLIMPIADAS 2024 RODAPE GENERICO,2,grodriguez,30/07/2024,22:13
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,30/07/2024,22:14
OLIMPIADAS 2024 RODAPE GENERICO,1,grodriguez,30/07/2024,22:17
OLIMPIADAS 2024 CONFRONTO,4,grodriguez,30/07/2024,22:20
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,4,jbillard,31/07/2024,08:09
OLIMPIADAS 2024 CONFRONTO,1,jbillard,31/07/2024,08:34
OLIMPIADAS 2024 CONFRONTO VARIACAO,1,jbillard,31/07/2024,08:47
OLIMPIADAS 2024 CARTAO GENERICO,1,jbillard,31/07/2024,09:25
OLIMPIADAS 2024 RODAPE CREDITO ATLETA,1,jbillard,31/07/2024,09:32
OLIMPIADAS 2024 RODAPE CREDITO ATLETA,1,jbillard,31/07/2024,09:41
OLIMPIADAS 2024 RODAPE MEDALHA,3,jbillard,31/07/2024,09:57
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,jbillard,31/07/2024,10:11
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,jbillard,31/07/2024,10:18
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,2,jbillard,31/07/2024,10:33
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,1,jbillard,31/07/2024,10:41
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,1,jbillard,31/07/2024,10:49
