template,quantidade,designer,data,hora
ALTAS HORAS CHROMA VOLTA JA,4,jbillard,26/04/2024,07:33
CONVERSA COM BIAL TARJA CONVIDADO,2,mnathan,26/04/2024,19:53
CONVERSA COM BIAL TARJA CONVIDADO,2,jbarao,26/04/2024,20:50
VERTICAL LETTERING SESSAO DA TARDE,1,mnathan,26/04/2024,21:36
VERTICAL LETTERING NOME,4,jbarao,26/04/2024,23:55
ENCONTRO FOTO CONVIDADO,1,jbarao,27/04/2024,19:35
ENCONTRO FOTO CONVIDADO,1,jbillard,29/04/2024,12:24
OS OUTROS RODAPE PROLOGO,1,jbillard,29/04/2024,16:14
CONVERSA COM BIAL RODAPE CONVIDADO,2,mnathan,29/04/2024,22:03
CONVERSA COM BIAL RODAPE CONVIDADO,2,mnathan,29/04/2024,22:06
ALTAS HORAS CARTAO INFO,2,jbillard,30/04/2024,10:05
ALTAS HORAS RODAPE CONVIDADO,6,jbillard,30/04/2024,14:06
VERTICAL LETTERING NOME,1,jbarao,30/04/2024,18:47
BRASILEIRAO CONFRONTO,1,tiamar,30/04/2024,19:30
CONVERSA COM BIAL RODAPE CONVIDADO,6,jbarao,30/04/2024,20:35
BRASILEIRAO CONFRONTO,1,mnathan,30/04/2024,21:17
BRASILEIRAO CONFRONTO,1,mnathan,30/04/2024,21:19
BRASILEIRAO CONFRONTO,1,mnathan,30/04/2024,21:25
BRASILEIRAO CONFRONTO,1,mnathan,30/04/2024,21:27
BRASILEIRAO CONFRONTO,1,tiamar,30/04/2024,21:39
VERTICAL LETTERING NOME,2,grodriguez,30/04/2024,21:57
VERTICAL LETTERING NOME,2,jbarao,02/05/2024,17:51
ENCONTRO FOTO CONVIDADO,1,jbillard,03/05/2024,14:58
VERTICAL LETTERING ATRACAO,3,grodriguez,03/05/2024,20:27
VERTICAL FILME SESSAO DA TARDE,1,grodriguez,03/05/2024,20:44
VERTICAL LETTERING ATRACAO,2,grodriguez,03/05/2024,20:50
VERTICAL LETTERING DIA HORA,1,grodriguez,03/05/2024,20:54
CONVERSA COM BIAL TARJA CONVIDADO,2,jbarao,06/05/2024,17:56
VERTICAL FILME SESSAO DA TARDE,1,jbarao,06/05/2024,17:57
VERTICAL LETTERING DIA HORA,3,jbarao,06/05/2024,22:40
VERTICAL LETTERING DIA HORA,3,jbarao,07/05/2024,19:38
VERTICAL LETTERING DIA HORA,12,jbarao,07/05/2024,19:40
CONVERSA COM BIAL TARJA CONVIDADO,2,jbarao,07/05/2024,22:17
BRASILEIRAO CONFRONTO,1,jbarao,08/05/2024,21:44
CONVERSA COM BIAL TARJA CONVIDADO,2,tiamar,08/05/2024,22:23
ALTAS HORAS CARTAO INFO,1,tiamar,08/05/2024,22:25
CONVERSA COM BIAL TARJA CONVIDADO,2,mnathan,09/05/2024,11:37
VERTICAL LETTERING DIA HORA,1,mnathan,09/05/2024,13:41
VERTICAL LETTERING ATRACAO,2,jbarao,09/05/2024,16:36
VERTICAL LETTERING DIA HORA,2,jbarao,09/05/2024,16:42
VERTICAL FILME SESSAO DA TARDE,2,grodriguez,10/05/2024,20:06
VERTICAL FILME SESSAO DA TARDE,1,grodriguez,13/05/2024,20:14
VERTICAL LETTERING ATRACAO,3,jbarao,14/05/2024,17:08
CONVERSA COM BIAL TARJA CONVIDADO,4,jbarao,14/05/2024,21:03
VERTICAL LETTERING ATRACAO,2,jbarao,15/05/2024,22:27
VERTICAL LETTERING DIA HORA,4,jbarao,15/05/2024,22:37
CONVERSA COM BIAL TARJA CONVIDADO,2,jbarao,16/05/2024,22:03
VERTICAL LETTERING ATRACAO,4,grodriguez,17/05/2024,20:04
VERTICAL LETTERING DIA HORA,1,grodriguez,17/05/2024,20:09
CONVERSA COM BIAL TARJA CONVIDADO,2,jbarao,17/05/2024,22:16
CONVERSA COM BIAL TARJA CONVIDADO,2,jbarao,21/05/2024,18:17
ALTAS HORAS RODAPE CONVIDADO,12,jbarao,21/05/2024,21:41
CONVERSA COM BIAL TARJA CONVIDADO,2,mnathan,22/05/2024,13:07
VERTICAL LETTERING ATRACAO,11,grodriguez,22/05/2024,21:57
VERTICAL LETTERING ATRACAO,2,grodriguez,22/05/2024,22:08
ALTAS HORAS RODAPE CONVIDADO,12,jbarao,24/05/2024,20:49
RENASCER LETTERING INFO,1,jbarao,25/05/2024,10:44
BRASILEIRAO CONFRONTO,1,jbarao,25/05/2024,19:12
VERTICAL FILME SESSAO DA TARDE,1,grodriguez,27/05/2024,19:37
VERTICAL FILME SESSAO DA TARDE,1,grodriguez,27/05/2024,20:50
VERTICAL FILME SESSAO DA TARDE,1,mnathan,28/05/2024,09:02
VERTICAL LETTERING ATRACAO,1,jbarao,28/05/2024,21:15
CONVERSA COM BIAL TARJA CONVIDADO,2,jbarao,28/05/2024,21:19
VERTICAL FILME SESSAO DA TARDE,1,mnathan,29/05/2024,13:11
VERTICAL FILME SESSAO DA TARDE,1,mnathan,29/05/2024,13:12
VERTICAL LETTERING DIA HORA,10,grodriguez,29/05/2024,23:11
ALTAS HORAS RODAPE CONVIDADO,8,jbillard,05/06/2024,15:29
BRASILEIRAO CONFRONTO,2,jbillard,05/06/2024,15:32
CALDEIRAO CARTAO SERVICO,2,jbillard,05/06/2024,15:36
VERTICAL FILME SESSAO DA TARDE,1,grodriguez,06/05/2024,20:45
ALTAS HORAS RODAPE CONVIDADO,14,jbarao,06/06/2024,00:14
ALTAS HORAS CARTAO INFO,1,jbarao,06/06/2024,00:17
CONVERSA COM BIAL TARJA CONVIDADO,4,crvianna,06/06/2024,09:13
CONVERSA COM BIAL TARJA CONVIDADO,2,crlima,06/06/2024,09:14
ALTAS HORAS CHROMA VOLTA JA,1,crlima,06/06/2024,09:16
DOMINGAO FOTO CONVIDADO,1,crvianna,06/06/2024,09:46
ALTAS HORAS CHROMA VOLTA JA,4,jbillard,06/06/2024,10:54
ENCONTRO FOTO CONVIDADO,1,crlima,06--24,24:17
ALTAS HORAS RODAPE CONVIDADO,4,jbillard,06/06/2024,14:15
